district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
SAWAI MADHOPUR,SAWAI MADHOPUR,106144.06,5904.78,5.56,Sawai Madhopur,1386.8899999999999,25.261945205479453,57.624273972602744,1.9024383561643836,97.74405479452055,66.98
SAWAI MADHOPUR,KHANDHAR,98945.44,11019.92,11.14,Sawai Madhopur,1386.8899999999999,25.261945205479453,57.624273972602744,1.9024383561643836,97.74405479452055,66.98
SIROHI,ABU ROAD,84443.18,165.8,0.2,Sirohi,896.79,25.45317808219178,52.046383561643836,2.3033698630136987,96.34668493150686,38.76
SIROHI,SHEOGANJ,85044.15,3807.27,4.48,Sirohi,896.79,25.45317808219178,52.046383561643836,2.3033698630136987,96.34668493150686,38.76
SIROHI,SIROHI,112944.24,3583.59,3.17,Sirohi,896.79,25.45317808219178,52.046383561643836,2.3033698630136987,96.34668493150686,38.76
SIROHI,REVDAR,104422.26,550.86,0.53,Sirohi,896.79,25.45317808219178,52.046383561643836,2.3033698630136987,96.34668493150686,38.76
TONK,DUNI,55529.62,2632.92,4.74,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,PIPLU,67152.33,8296.36,12.35,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,NIWAI,98772.56,2969.8,3.01,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,MALPURA,143488.46,3010.45,2.1,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,DEVLI,62509.77,5776.2,9.24,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,TONK,74019.96,10894.6,14.72,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,TODA RAISINGH,96325.22,8553.62,8.88,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
TONK,UNIARA,95169.54,1898.38,1.99,Tonk,1288.06,25.26745205479452,56.26427397260274,1.9889315068493152,97.31145205479451,56.83
UDAIPUR,RISHABHDEV,45932.25,380.75,0.83,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,SEMARI,26825.39,917.43,3.42,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,KHERWARA,61205.26,392.42,0.64,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,SARARA,77835.11,1922.17,2.47,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,MAVLI,78806.45,34.46,0.04,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,SALUMBER,94202.57,2857.14,3.03,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,VALLABHNAGAR,103887.34,14.24,0.01,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,GIRWA,136212.49,331.94,0.24,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,JHAROL,137083.44,6.21,0.0,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,LASADIYA,56083.7,1.92,0.0,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,GOGUNDA,110255.91,14.22,0.01,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,KOTRA,153704.4,390.39,0.25,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
UDAIPUR,BARGAON,44121.17,164.14,0.37,Udaipur,1072.73,24.32076712328767,55.71613698630137,2.349095890410959,94.6352602739726,46.76
