district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
SIROHI,REVDAR,104422.26,550.86,0.53,Sirohi,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0
TONK,DUNI,55529.62,2632.92,4.74,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,PIPLU,67152.33,8296.36,12.35,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,NIWAI,98772.56,2969.8,3.01,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,MALPURA,143488.46,3010.45,2.1,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,DEVLI,62509.77,5776.2,9.24,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,TONK,74019.96,10894.6,14.72,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,TODA RAISINGH,96325.22,8553.62,8.88,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
TONK,UNIARA,95169.54,1898.38,1.99,Tonk,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85
UDAIPUR,RISHABHDEV,45932.25,380.75,0.83,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,SEMARI,26825.39,917.43,3.42,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,KHERWARA,61205.26,392.42,0.64,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,SARARA,77835.11,1922.17,2.47,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,MAVLI,78806.45,34.46,0.04,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,SALUMBER,94202.57,2857.14,3.03,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,VALLABHNAGAR,103887.34,14.24,0.01,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,GIRWA,136212.49,331.94,0.24,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,JHAROL,137083.44,6.21,0.0,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,LASADIYA,56083.7,1.92,0.0,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,GOGUNDA,110255.91,14.22,0.01,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
UDAIPUR,KOTRA,153704.4,390.39,0.25,Udaipur,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94
