district,year,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
DUNGARPUR,2011,713.79,25.809068493150683,49.447753424657535,2.4480821917808218,96.741698630137,37.45
DUNGARPUR,2012,767.99,25.28226775956284,47.41691256830601,2.5600273224043715,96.76707650273224,115.99
DUNGARPUR,2013,742.53,25.28027397260274,50.96224657534247,2.405287671232877,96.77923287671233,45.59
DUNGARPUR,2014,636.2,25.903945205479452,47.55769863013699,2.473890410958904,96.87747945205479,66.89
DUNGARPUR,2015,606.55,26.12394520547945,45.74676712328767,2.5314520547945207,96.9012602739726,79.8
DUNGARPUR,2016,788.11,26.19,46.9898087431694,2.301693989071038,96.84254098360657,48.52
DUNGARPUR,2017,803.97,26.026027397260275,46.377452054794524,2.436739726027397,96.82758904109589,79.82
DUNGARPUR,2018,537.38,26.471013698630138,41.92797260273972,2.34558904109589,96.8191506849315,41.23
DUNGARPUR,2019,980.95,25.387260273972604,54.55950684931507,2.387972602739726,96.8650410958904,58.14
DUNGARPUR,2020,956.31,25.303114754098363,55.13912568306011,2.3318032786885245,96.82658469945355,51.52
DUNGARPUR,2021,738.35,25.88558904109589,52.56032876712329,2.45372602739726,96.77871232876713,45.05
DUNGARPUR,2022,866.79,25.838054794520545,52.19243835616439,2.4344931506849314,96.7637808219178,60.71
GANGANAGAR,1986,310.46,26.222958904109586,32.71671232876712,1.8392054794520547,98.78427397260275,16.04
GANGANAGAR,1987,193.34,27.56991780821918,27.017287671232875,1.9343287671232876,98.8055890410959,10.73
GANGANAGAR,1988,318.77,27.447158469945354,32.423442622950816,1.9686885245901637,98.68073770491803,23.83
GANGANAGAR,1989,201.79,26.784438356164383,29.142931506849315,1.88386301369863,98.75671232876712,17.16
GANGANAGAR,1990,355.68,27.00498630136986,35.41769863013698,1.9657808219178081,98.72164383561645,19.33
GANGANAGAR,1991,144.6,27.445260273972604,26.36150684931507,1.8842465753424658,98.76150684931505,14.05
GANGANAGAR,1992,372.02,26.196502732240436,36.1522131147541,1.7903825136612022,98.83467213114754,27.39
GANGANAGAR,1993,232.54,27.35980821917808,27.83358904109589,1.9312328767123288,98.76227397260274,20.63
GANGANAGAR,1994,324.43,26.792657534246576,32.85994520547945,1.9210410958904107,98.76065753424658,18.87
GANGANAGAR,1995,354.83,26.409780821917806,34.71361643835616,1.8886027397260274,98.76791780821918,41.55
GANGANAGAR,1996,340.01,26.605109289617484,31.416666666666668,1.861584699453552,98.71773224043716,25.69
GANGANAGAR,1997,295.42,26.23643835616438,34.91717808219178,1.9219178082191781,98.84917808219177,14.75
GANGANAGAR,1998,199.11,27.512520547945204,30.614931506849317,1.9146849315068493,98.76391780821918,15.39
GANGANAGAR,1999,114.64,28.278301369863012,25.900301369863016,2.005068493150685,98.6455616438356,15.19
GANGANAGAR,2000,117.76,27.73841530054645,26.208688524590162,2.1191256830601093,98.62049180327868,13.61
GANGANAGAR,2001,193.07,27.681616438356166,28.364849315068493,1.9029589041095891,98.69734246575342,18.74
GANGANAGAR,2002,98.53,28.354849315068495,26.276,1.8929863013698631,98.72284931506849,11.49
GANGANAGAR,2003,314.95,26.87991780821918,33.337698630136984,1.7381369863013698,98.77838356164384,33.26
GANGANAGAR,2004,188.31,28.06120218579235,29.329125683060113,1.8542349726775955,98.73950819672132,27.05
GANGANAGAR,2005,218.94,26.719753424657533,34.64317808219178,1.9051780821917808,98.78690410958905,12.95
GANGANAGAR,2006,230.58,27.53287671232877,35.9445205479452,1.8742465753424657,98.76742465753425,18.28
GANGANAGAR,2007,309.75,27.32723287671233,35.324547945205474,1.7641917808219176,98.73816438356164,20.17
GANGANAGAR,2008,343.76,26.886803278688525,35.20653005464481,1.7659562841530057,98.72756830601094,38.87
GANGANAGAR,2009,265.05,27.350794520547947,32.97054794520548,1.7598356164383562,98.76183561643836,25.83
GANGANAGAR,2010,350.94,27.356027397260277,34.26641095890411,1.7085479452054795,98.73293150684931,31.21
GANGANAGAR,2011,365.76,26.823287671232876,37.464109589041094,1.7267671232876711,98.71202739726027,22.09
GANGANAGAR,2012,287.27,26.28893442622951,33.41693989071038,1.9172677595628416,98.72021857923497,37.76
GANGANAGAR,2013,269.15,26.854986301369863,35.59767123287671,1.8345205479452056,98.74328767123288,22.35
GANGANAGAR,2014,319.68,26.289315068493153,35.49189041095891,1.7614794520547947,98.85750684931506,93.88
GANGANAGAR,2015,394.11,26.223835616438357,38.87490410958904,1.7126849315068493,98.89279452054795,44.34
GANGANAGAR,2016,230.19,27.81327868852459,31.52669398907104,1.714535519125683,98.77989071038252,35.37
GANGANAGAR,2017,244.65,27.261780821917807,32.757260273972605,1.7152876712328768,98.79821917808219,17.96
