date,location,latitude,longitude,rainfall_mm,temperature_c,humidity_percent,wind_speed_mps,pressure_kpa
2025-10-31,Ajmer,26.4499,74.6399,0.02,23.2,77.29,1.15,96.76
2025-11-01,Ajmer,26.4499,74.6399,0.0,23.99,67.63,0.86,96.78
2025-11-02,Ajmer,26.4499,74.6399,0.0,24.36,50.65,0.88,96.83
2025-11-03,Ajmer,26.4499,74.6399,7.94,23.26,58.06,1.51,96.65
2025-11-04,Ajmer,26.4499,74.6399,2.73,23.27,75.43,2.54,96.53
2025-11-05,Ajmer,26.4499,74.6399,0.0,19.78,63.95,2.11,96.73
2025-11-06,Ajmer,26.4499,74.6399,0.0,18.32,49.1,1.54,96.94
2025-11-07,Ajmer,26.4499,74.6399,0.0,19.04,37.2,1.18,97.1
2025-11-08,Ajmer,26.4499,74.6399,0.0,19.13,44.02,1.5,97.14
2025-11-09,Ajmer,26.4499,74.6399,0.0,18.41,51.03,1.64,97.01
2025-11-10,Ajmer,26.4499,74.6399,0.0,18.09,55.31,1.74,96.96
2025-11-11,Ajmer,26.4499,74.6399,0.0,18.62,57.34,1.42,97.07
2025-11-12,Ajmer,26.4499,74.6399,0.0,19.23,55.31,1.46,97.16
2025-11-13,Ajmer,26.4499,74.6399,0.0,19.45,42.73,1.14,97.3
2025-11-14,Ajmer,26.4499,74.6399,0.0,19.0,38.53,0.99,97.27
2025-11-15,Ajmer,26.4499,74.6399,0.0,18.32,42.51,1.06,97.37
2025-11-16,Ajmer,26.4499,74.6399,0.0,18.53,42.97,1.15,97.54
